32.31,32,1050600,-0.06,-0.0020,0
32,31.69,1333900,-0.19,-0.0058,1
32.31,31.88,1384100,0.38,0.0118,0
32.25,31.88,1452300,-0.31,-0.0096,0
32.06,31.75,1529100,-0.12,-0.0039,1
32.06,31.88,1101100,0.06,0.0019,1
32.31,31.94,1522800,0.44,0.0136,1
32.94,32.06,1670900,0.62,0.0193,1
33.25,32.69,1982500,0.25,0.0076,1
33.5,33.06,3652700,0.12,0.0038,1
33.5,33.12,1075200,0.12,0.0038,1
33.75,33.38,1061600,0.31,0.0094,1
34.75,33.75,2153800,0.81,0.0240,1
34.94,34.31,1483300,0.19,0.0055,1
35.31,34.31,1497700,0.56,0.0161,0
35.25,34.81,1172200,-0.25,-0.0071,0
34.94,34.44,1181600,-0.19,-0.0053,1
35.12,34.5,1280900,0.19,0.0053,0
35.12,34.25,1435200,-0.69,-0.0195,1
34.69,33.94,1578100,0.12,0.0036,0
34.75,34.19,1373100,-0.06,-0.0019,1
35.5,34.62,1432200,1,0.0290,1
35.81,35.19,1372000,0.38,0.0106,0
35.94,35.12,1545200,-0.5,-0.0140,1
35.56,35.19,701900,0.06,0.0018,1
36.12,35.19,1038900,0.44,0.0123,0
35.88,35.25,1671300,-0.12,-0.0035,0
35.81,35.31,1064700,-0.12,-0.0035,0
35.75,35.38,645900,-0.19,-0.0052,1
35.94,35.44,844700,0.06,0.0017,1
36,35.44,841400,0.38,0.0106,0
35.81,35.25,878300,-0.38,-0.0105,1
35.94,35.31,1184100,0.44,0.0124,1
36.75,35.38,2714800,0.88,0.0244,0
36.94,36.12,3322700,-0.56,-0.0154,0
36.19,35.88,1464800,-0.19,-0.0051,1
36.38,35.94,1353400,0.25,0.0069,0
35.88,35.62,2558400,-0.38,-0.0103,0
36.19,35.38,2318100,-0.38,-0.0105,1
35.85,35.31,1621100,0.31,0.0087,1
36.12,35.81,1075300,0.19,0.0053,0
36.38,35.94,1428900,-0.06,-0.0018,0
36.12,35.75,1221600,-0.06,-0.0017,0
36,35.62,1232000,-0.06,-0.0018,0
36.06,35.56,1660000,-0.25,-0.0070,0
35.69,35.19,1134200,-0.38,-0.0105,1
35.62,35.19,1485200,0.44,0.0125,1
36.38,35.69,1697700,0.75,0.0211,0
36.5,35.88,1430900,-0.5,-0.0137,1
36.38,35.81,995300,0.5,0.0139,1
37,36.25,1380300,0.56,0.0154,1
37.12,36.69,1485500,0.06,0.0018,1
37.19,36.62,1381400,0.12,0.0034,1
37.56,37.12,1575300,0.25,0.0067,1
37.56,37.25,2294700,0.12,0.0033,1
37.62,37.31,1103000,0.12,0.0033,1
38.44,37.56,1348800,0.75,0.0199,0
38.31,37.5,1222200,-0.88,-0.0228,1
37.75,37.5,244700,0.12,0.0033,0
37.69,37.19,1313100,-0.31,-0.0084,1
37.81,37.25,1268100,0.38,0.0101,1
37.75,37.44,881200,0.06,0.0017,1
38.06,37.69,1191100,0.12,0.0033,1
38.19,37.75,1033600,0.01,0.0004,1
38.12,37.56,1303800,0.24,0.0062,1
38.88,37.94,1273400,0.56,0.0147,1
39.69,38.69,1792700,1,0.0258,0
39.62,39,1307300,-0.5,-0.0126,1
39.56,39.06,897800,0.06,0.0017,1
40.06,39.19,1423900,0.44,0.0111,1
40.12,39.62,1044800,0.38,0.0094,0
40.19,39.94,1214700,-0.06,-0.0015,0
40,39.38,1590300,-0.62,-0.0156,0
39.69,39.25,4938300,-0.06,-0.0017,0
39.12,38.75,1505800,-0.5,-0.0127,0
38.94,37.81,2404400,-0.19,-0.0048,0
38.62,37.12,2096600,-1.5,-0.0388,0
